,precision,recall,f1-score,support
Shukri Kanaan,0.7894736842105263,0.75,0.7692307692307693,20.0
Emily Nasrallah,1.0,1.0,1.0,91.0
Thomas & John Oussani,1.0,1.0,1.0,2.0
Brother of Joseph Oussani,1.0,1.0,1.0,4.0
Joseph Oussani,1.0,1.0,1.0,60.0
Shukri Kordahi,1.0,1.0,1.0,5.0
Negib Aboussouan,1.0,1.0,1.0,3.0
Toubia Hanna Rizk & Touma Chidiac,1.0,1.0,1.0,2.0
Hanna Younes Abboud,1.0,1.0,1.0,3.0
Youssef Bey Al-Helou,1.0,1.0,1.0,2.0
Father Elias,1.0,1.0,1.0,1.0
Magistrate of Batroun,1.0,1.0,1.0,2.0
Jirjis Yuhanna Basil ,1.0,1.0,1.0,2.0
Estephan Adib Salloum,1.0,1.0,1.0,8.0
Father Boulos El-Mender,1.0,1.0,1.0,26.0
Joseph,1.0,1.0,1.0,5.0
Salah Tizani,1.0,1.0,1.0,132.0
Father Elias Bassil,0.8888888888888888,1.0,0.9411764705882353,8.0
Yahia Mansour & Asaad Koury,1.0,1.0,1.0,2.0
Father Tobia al-Issa,1.0,1.0,1.0,6.0
Assad Darouich Zacharias,1.0,0.9285714285714286,0.9629629629629629,14.0
Asaad Koury Tobia Attallah,1.0,0.8571428571428571,0.9230769230769231,7.0
Krouger Tobia Attallah,0.9672131147540983,0.9833333333333333,0.9752066115702479,60.0
Nadim Attallah,1.0,1.0,1.0,4.0
Toufic El Bacha,1.0,1.0,1.0,18.0
Rahma Raad,1.0,1.0,1.0,2.0
Youssef Abdullah Maroun,1.0,1.0,1.0,4.0
Youssef Moussa Sadaqa,1.0,0.5,0.6666666666666666,2.0
Catherine Yazbek Al-Badawi,0.8888888888888888,0.8,0.8421052631578947,10.0
Nehme Elias Mikhail,1.0,1.0,1.0,2.0
Assad Al-Khoury,1.0,0.6666666666666666,0.8,3.0
Tanios Zakhia Elias Basil,1.0,1.0,1.0,2.0
Bishara Mar'i Mansour,0.7,1.0,0.8235294117647058,7.0
Francis Lahoud,1.0,1.0,1.0,3.0
K. John,1.0,1.0,1.0,2.0
Brother Ibrahim,1.0,1.0,1.0,2.0
Youssef Fadlallah Salemeh,1.0,1.0,1.0,30.0
Nehad,1.0,1.0,1.0,2.0
Lebanese immigrants,1.0,1.0,1.0,5.0
Dani Al-Sibaqa,1.0,1.0,1.0,3.0
Abdo Fares,1.0,1.0,1.0,2.0
Jamil Youssef Noah,1.0,1.0,1.0,4.0
Elias Karbaj,1.0,1.0,1.0,5.0
Jarhas Hanna Al-Shabtini,1.0,1.0,1.0,2.0
Bishop Youssef Darian,1.0,1.0,1.0,25.0
Youssef Hanna El-Sawda,0.9622641509433962,1.0,0.9807692307692307,51.0
Sally Aad,1.0,1.0,1.0,3.0
Daud Barkaat,1.0,1.0,1.0,3.0
Talaat,1.0,1.0,1.0,4.0
Maurice Paul Sarrail,1.0,0.6666666666666666,0.8,6.0
accuracy,0.9838539838539838,0.9838539838539838,0.9838539838539838,0.9838539838539838
macro avg,0.9688913599265389,0.9672544118680422,0.9640083564388927,2849.0
weighted avg,0.984833088497732,0.9838539838539838,0.9834277799179312,2849.0
